City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Kingaroy,AU,-26.54,151.84,100.99,13,0,11.41,1570417657
Kungur,RU,57.43,56.94,41.32,74,77,6.96,1570417658
La Ronge,CA,55.1,-105.3,42.8,70,75,5.82,1570417658
Vila Franca do Campo,PT,37.72,-25.43,75.0,94,75,12.75,1570417659
Parker,US,43.4,-97.14,53.6,66,1,11.41,1570417659
Port Elizabeth,US,39.31,-74.98,72.0,68,90,12.48,1570417660
Algiers,US,29.94,-90.04,82.0,100,1,4.7,1570417396
Port Hardy,CA,50.7,-127.42,50.0,93,90,13.87,1570417661
Huayucachi,PE,-12.13,-75.23,40.71,86,100,3.78,1570417661
Kapaa,US,22.08,-159.32,82.4,94,90,13.87,1570417662
Poum,MK,41.28,20.71,44.6,75,40,9.17,1570417662
Corum,TR,38.8,29.89,39.2,100,0,2.24,1570417663
Hithadhoo,MV,-0.6,73.08,81.66,77,81,14.03,1570417663
Cap Malheureux,MU,-19.98,57.61,73.99,83,40,12.75,1570417664
Arandis,NA,-22.42,14.98,53.19,86,0,5.23,1570417664
Burnie,AU,-41.05,145.91,57.99,57,100,8.99,1570417665
Jamestown,AU,-33.21,138.6,57.74,69,100,12.48,1570417665
Saldanha,PT,41.42,-6.55,57.97,50,9,1.32,1570417666
Polyarnyy,RU,69.2,33.45,37.4,93,75,8.39,1570417666
Mabaruma,GY,8.2,-59.78,73.38,96,29,1.34,1570417667
Bredasdorp,ZA,-34.53,20.04,57.0,87,0,3.36,1570417660
Siilinjarvi,FI,63.08,27.67,37.4,100,90,3.36,1570417668
Kodiak,US,39.95,-94.76,52.0,71,1,6.93,1570417668
Natal,BR,-5.81,-35.21,78.8,78,40,13.87,1570417729
Khatanga,RU,71.98,102.47,22.93,87,0,9.04,1570417729
Norfolk,US,36.85,-76.29,73.4,77,40,4.7,1570417651
Arraial do Cabo,BR,-22.97,-42.02,70.99,89,80,5.41,1570417677
Garh Maharaja,PK,30.83,71.9,76.5,47,0,3.6,1570417731
Butaritari,KI,3.07,172.79,84.65,63,0,2.71,1570417731
Dergachi,RU,51.24,48.77,53.87,32,100,16.51,1570417731
Chokurdakh,RU,70.62,147.9,21.04,86,100,6.35,1570417732
Ponta do Sol,BR,-20.63,-46.0,71.78,62,95,4.88,1570417696
Longyearbyen,NO,78.22,15.63,32.0,90,75,12.75,1570417734
Norman Wells,CA,65.28,-126.83,32.0,64,75,10.29,1570417692
Port-Gentil,GA,-0.72,8.78,77.79,86,88,12.48,1570417735
Kavaratti,IN,10.57,72.64,82.4,78,20,4.7,1570417735
Khani,GE,41.96,42.96,59.0,87,75,11.41,1570417736
Pecos,US,31.42,-103.49,78.8,41,1,25.28,1570417737
Lelydorp,SR,5.69,-55.21,77.0,94,20,3.36,1570417737
Hong Gai,VN,20.96,107.09,86.0,66,20,6.93,1570417738
Thunder Bay,CA,48.41,-89.26,48.2,81,20,10.29,1570417738
Tevaitoa,PF,-16.78,-151.5,76.35,86,100,20.85,1570417739
Saint-Augustin,CA,45.63,-73.98,62.01,93,90,3.36,1570417739
Graciano Sanchez,MX,23.92,-99.28,63.45,89,12,3.76,1570417740
Thinadhoo,MV,0.53,72.93,82.13,76,91,11.45,1570417740
Ayan,IR,38.23,44.7,66.2,34,20,2.24,1570417670
Tikapur,NP,28.53,81.12,75.99,92,59,3.0,1570417741
Hearst,CA,49.69,-83.67,47.39,85,81,11.63,1570417742
Khandbari,NP,27.38,87.21,61.23,69,16,4.16,1570417742
Klaksvik,FO,62.23,-6.59,50.0,87,80,34.45,1570417743
Port Lincoln,AU,-34.72,135.86,56.64,72,32,20.27,1570417740
Vostok,RU,46.45,135.83,55.96,49,0,6.33,1570417744
Balabac,PH,7.99,117.06,86.13,66,69,9.46,1570417744
Saint-Philippe,CA,45.36,-73.48,62.01,87,90,12.75,1570417745
La Paz,MX,24.15,-110.32,82.4,61,5,4.7,1570417720
Marzuq,YE,14.4,46.47,74.44,45,96,2.57,1570417746
Yulara,AU,-25.24,130.99,84.2,21,0,12.75,1570417717
Nadym,RU,65.53,72.51,33.35,77,19,19.1,1570417747
Leningradskiy,RU,69.38,178.42,24.58,74,48,4.52,1570417748
Waingapu,ID,-9.65,120.26,87.73,41,2,14.81,1570417748
Seoul,KR,37.57,126.98,59.0,100,90,2.24,1570417749
Labuhan,ID,-2.54,115.51,91.0,49,100,2.19,1570417750
Bulawayo,ZW,-20.16,28.59,56.41,41,33,4.97,1570417750
Kisangani,CD,0.52,25.21,70.36,99,100,2.24,1570417751
Saint-Georges,CA,46.12,-70.67,55.99,100,93,1.99,1570417751
Hami,CN,42.84,93.51,66.09,20,0,7.11,1570417721
Oistins,BB,13.07,-59.53,78.8,88,75,24.16,1570417752
Kaitangata,NZ,-46.28,169.85,55.0,68,98,1.99,1570417753
Sao Filipe,CV,14.9,-24.5,78.98,87,100,15.23,1570417753
Hokitika,NZ,-42.72,170.96,52.84,75,68,6.87,1570417754
Okhotsk,RU,59.36,143.24,34.14,27,0,11.99,1570417754
Geraldton,CA,49.72,-86.95,44.6,93,20,11.41,1570417755
Hermanus,ZA,-34.42,19.24,57.0,93,32,3.0,1570417672
Neftcala,AZ,39.37,49.25,67.53,82,0,15.64,1570417816
Lazaro Cardenas,MX,28.39,-105.62,72.0,73,40,8.7,1570417816
Vilhena,BR,-12.74,-60.15,66.29,93,99,7.34,1570417817
Grafton,AU,-29.69,152.93,100.99,28,0,9.17,1570417817
Katsuura,JP,33.93,134.5,78.01,60,20,5.82,1570417818
Flin Flon,CA,54.77,-101.88,38.57,81,25,5.61,1570417818
Fortuna,US,40.6,-124.16,59.0,87,1,3.36,1570417819
Belyy Yar,RU,53.6,91.39,41.0,100,75,2.24,1570417819
Liuzhou,CN,24.32,109.41,77.47,73,82,5.86,1570417819
Faya,SA,18.39,42.45,64.4,48,0,1.54,1570417820
Orhei,MD,47.39,28.83,44.6,87,90,2.24,1570417820
Clyde River,CA,70.47,-68.59,21.2,85,1,3.36,1570417821
Misratah,LY,32.38,15.09,75.43,63,0,7.05,1570417822
Salalah,OM,17.01,54.1,78.8,83,75,2.24,1570417822
Santa Rosa,AR,-36.62,-64.29,63.03,25,100,6.44,1570417717
Groningen,NL,53.22,6.57,43.0,93,0,9.17,1570417555
Mildura,AU,-34.18,142.16,64.0,55,40,8.05,1570417823
College,US,64.86,-147.8,33.8,90,90,8.05,1570417824
Esperance,AU,-33.86,121.89,59.0,100,90,12.75,1570417824
Hasaki,JP,35.73,140.83,75.0,77,75,11.41,1570417825
Mocuba,MZ,-16.84,36.99,68.22,87,0,3.44,1570417825
Dingle,PH,11.0,122.67,84.67,72,63,8.52,1570417826
Yorkton,CA,51.21,-102.46,42.8,70,1,11.41,1570417826
Vao,EE,59.1,26.19,39.43,85,100,6.15,1570417827
Port-Cartier,CA,50.03,-66.88,44.01,87,90,4.7,1570417827
Nemuro,JP,43.32,145.57,59.0,62,75,9.17,1570417828
Kanye,BW,-24.98,25.34,63.77,28,65,6.76,1570417828
Oktyabrskiy,RU,55.61,37.97,36.0,91,90,15.66,1570417829
Shu,KZ,43.6,73.76,62.78,31,100,2.35,1570417830
Hualmay,PE,-11.1,-77.61,60.35,92,16,14.94,1570417831
Hamilton,CA,43.26,-79.87,62.6,76,90,5.82,1570417807
San Cristobal,HN,14.68,-86.92,67.66,91,75,4.52,1570417832
General Roca,AR,-39.03,-67.58,59.0,41,0,11.41,1570417695
Port Alfred,ZA,-33.59,26.89,64.0,93,100,9.4,1570417833
Nishihara,JP,35.74,139.53,80.01,53,75,3.36,1570417833
Timbiqui,CO,2.77,-77.67,78.24,79,99,8.25,1570417834
Vaini,IN,15.34,74.49,71.6,94,40,2.37,1570417662
Frunze,KZ,43.71,77.27,57.2,58,75,8.95,1570417835
Namibe,AO,-15.19,12.15,67.95,76,98,8.79,1570417835
Missao Velha,BR,-7.25,-39.14,84.2,30,0,6.98,1570417836
Caravelas,BR,-17.73,-39.27,72.93,86,0,7.67,1570417836
Tara,JP,33.0,130.15,86.0,65,75,4.7,1570417837
Wuwei,CN,37.93,102.64,52.39,55,35,5.12,1570417837
Brigham City,US,41.51,-112.02,48.0,45,1,3.36,1570417838
Ban Dung,TH,17.7,103.25,82.4,74,20,6.93,1570417838
Bathsheba,BB,13.22,-59.52,78.8,88,75,24.16,1570417739
Maniitsoq,GL,65.42,-52.9,34.88,55,0,4.92,1570417839
The Valley,AI,18.22,-63.06,84.2,74,40,11.41,1570417726
Nuuk,GL,64.17,-51.74,32.0,77,0,5.82,1570417840
Neiafu,TO,-18.65,-173.98,77.0,73,75,9.17,1570417841
Pingliang,CN,35.54,106.68,48.72,50,63,3.24,1570417841
Severodvinsk,RU,64.56,39.82,28.4,100,20,2.24,1570417842
Egvekinot,RU,66.32,-179.17,23.77,84,100,3.74,1570417842
Northam,AU,-31.65,116.67,68.0,42,20,11.41,1570417843
Kailua,US,21.39,-157.74,82.4,65,75,8.05,1570417843
Nola,CF,3.52,16.05,67.82,98,82,1.97,1570417904
Tautira,PF,-17.73,-149.15,80.01,74,75,12.75,1570417904
Ardakan,IR,32.31,54.02,66.2,22,0,4.7,1570417905
Ancud,CL,-41.87,-73.83,44.6,87,40,6.93,1570417905
Adre,TD,13.47,22.2,72.54,79,73,1.39,1570417906
Ngunguru,NZ,-35.62,174.5,62.01,91,98,3.0,1570417906
Caracuaro,MX,19.01,-101.13,66.69,96,21,3.56,1570417907
Marsh Harbour,BS,26.54,-77.06,80.83,81,100,18.77,1570417908
Coquimbo,CL,-29.95,-71.34,55.4,76,0,5.82,1570417723
Huilong,CN,31.15,106.5,63.05,89,100,8.46,1570417909
Saint George,GR,39.45,22.34,57.2,67,75,4.7,1570417663
Ayaviri,PE,-14.88,-70.59,38.28,38,71,5.26,1570417910
Carbondale,US,38.82,-95.69,53.01,100,1,6.15,1570417910
Mapastepec,MX,15.44,-92.9,75.11,90,100,3.04,1570417911
Rocha,UY,-34.48,-54.34,47.01,96,0,6.8,1570417911
Batagay-Alyta,RU,67.8,130.41,11.25,89,100,2.51,1570417912
Victoria,BN,5.28,115.24,86.0,79,75,4.7,1570417912
Ketchikan,US,55.34,-131.65,53.6,93,90,11.41,1570417702
Kruisfontein,ZA,-34.0,24.73,58.01,84,100,1.5,1570417687
Tura,RU,64.27,100.22,27.25,93,100,5.75,1570417765
Caceres,CO,5.53,-74.53,65.93,99,100,2.59,1570417915
Yokadouma,CM,3.52,15.05,67.08,98,99,1.66,1570417915
Sao Joao da Barra,BR,-21.64,-41.05,70.12,90,7,3.24,1570417916
East London,ZA,-33.02,27.91,61.7,92,99,4.25,1570417916
Ilulissat,GL,69.22,-51.1,32.0,97,100,8.05,1570417917
Constantine,DZ,36.36,6.61,51.8,81,0,3.36,1570417917
Severo-Kurilsk,RU,50.68,156.12,45.91,81,0,18.95,1570417681
Santa Barbara,US,34.42,-119.7,70.0,82,1,5.82,1570417919
Dhanwar,IN,24.42,85.98,80.33,71,54,1.63,1570417919
Faanui,PF,-16.48,-151.75,77.13,85,100,18.1,1570417920
Deputatskiy,RU,69.3,139.9,10.15,87,0,1.83,1570417921
Guerrero Negro,MX,27.97,-114.04,69.62,77,0,14.7,1570417921
Tual,ID,-5.67,132.75,78.66,84,100,18.43,1570417922
Micomeseng,GQ,2.15,10.62,67.33,99,95,0.81,1570417923
Stabat,ID,3.76,98.46,91.0,42,100,2.68,1570417924
Lengshuitan,CN,26.41,111.6,75.69,45,31,6.96,1570417924
Ondjiva,AO,-17.07,15.73,68.04,23,22,7.45,1570417925
Tasiilaq,GL,65.61,-37.64,39.2,93,79,2.91,1570417925
Phan Thiet,VN,10.93,108.1,83.21,67,100,4.59,1570417791
Coihaique,CL,-45.58,-72.07,41.0,86,75,1.12,1570417926
Castro,CL,-42.48,-73.76,44.6,87,40,6.93,1570417682
Cairns,AU,-16.92,145.77,84.99,48,5,8.05,1570417927
Lamar,US,38.09,-102.62,51.8,43,1,10.29,1570417928
Watertown,US,44.9,-97.12,57.2,61,1,10.29,1570417929
Swellendam,ZA,-34.02,20.44,55.4,87,0,3.36,1570417929
Hovd,NO,63.83,10.7,46.99,89,75,6.93,1570417930
Cidreira,BR,-30.17,-50.22,58.64,87,91,5.77,1570417931
Goderich,CA,43.74,-81.71,59.0,86,87,7.0,1570417932
Les Cayes,HT,18.19,-73.75,82.56,79,96,10.78,1570417932
Baraki Barak,AF,33.97,68.95,43.41,71,99,0.74,1570417932
Kalmunai,LK,7.42,81.82,78.66,80,100,0.89,1570417933
Batticaloa,LK,7.71,81.69,78.66,80,100,0.89,1570417933
Airai,TL,-8.93,125.41,86.94,42,7,5.14,1570417934
Mindelo,PT,41.31,-8.72,59.0,100,40,13.09,1570417934
Banda Aceh,ID,5.56,95.32,80.89,76,100,8.41,1570417916
Marsaxlokk,MT,35.84,14.54,72.0,68,40,16.11,1570417995
Jardim,BR,-21.48,-56.15,62.6,96,96,6.15,1570417996
Union,US,34.72,-81.62,70.0,82,90,5.3,1570417996
Cotonou,BJ,6.37,2.43,78.8,88,40,9.17,1570417997
Pevek,RU,69.7,170.27,28.89,78,100,13.62,1570417997
Huarmey,PE,-10.07,-78.15,60.37,93,48,14.41,1570417998
Acari,BR,-6.44,-36.64,71.91,71,0,12.06,1570417998
Mufumbwe,ZM,-13.68,24.8,64.6,54,0,5.32,1570417999
Kangaatsiaq,GL,68.31,-53.46,34.68,55,92,2.66,1570417999
Terrace,CA,54.52,-128.61,48.2,93,90,21.92,1570418001
Beloha,MG,-25.17,45.06,70.11,65,0,8.79,1570418001
Narsaq,GL,60.91,-46.05,51.8,34,40,19.46,1570418002
Phaltan,IN,17.99,74.43,73.08,79,87,0.85,1570418003
Cervo,BR,-22.19,-46.24,64.38,88,84,3.0,1570418004
Sabha,LY,27.03,14.43,69.31,25,0,7.29,1570418004
Magadan,RU,59.56,150.8,33.87,55,12,10.87,1570418005
High Level,CA,58.52,-117.13,50.0,53,75,6.93,1570418005
Kortkeros,RU,61.81,51.56,33.8,100,90,11.18,1570418006
Bartow,DE,53.82,13.35,44.01,84,92,1.39,1570418006
Arzakan,AM,40.45,44.61,59.0,82,40,3.11,1570418007
Provideniya,RU,64.42,-173.23,35.6,80,90,13.42,1570418007
Tanete,ID,-3.94,119.78,87.69,58,12,13.29,1570418008
Warrnambool,AU,-38.38,142.48,57.99,73,44,8.01,1570418009
Yaan,NG,7.38,8.57,71.69,97,100,4.61,1570418010
Bonavista,CA,48.65,-53.11,44.01,87,0,8.99,1570417727
Ambon,FR,47.55,-2.56,55.99,100,0,2.24,1570418011
Lompoc,US,34.64,-120.46,66.99,88,1,5.82,1570418012
Witu,KE,-2.39,40.44,71.6,100,40,4.94,1570418013
Port Hueneme,US,34.15,-119.2,73.0,68,1,4.7,1570418013
Zaraza,VE,9.35,-65.33,73.18,96,0,4.99,1570418014
Upernavik,GL,72.79,-56.15,28.42,76,0,4.52,1570417930
Wanning,AT,48.64,13.53,44.01,87,90,10.29,1570418015
Veraval,FR,49.65,0.71,55.4,87,90,5.82,1570418017
Passo de Camaragibe,BR,-9.24,-35.49,69.8,94,0,4.7,1570418017
Skelleftea,SE,64.75,20.95,39.2,80,99,5.82,1570418018
Kurtamysh,RU,54.91,64.43,46.6,67,0,5.64,1570418018
Pisco,PE,-13.71,-76.2,62.01,82,90,11.41,1570418019
Sovetskiy,RU,56.76,48.47,48.13,80,100,9.91,1570418019
Abong Mbang,CM,3.98,13.18,66.02,99,100,2.19,1570418020
Pangoa,PE,-12.12,-73.0,67.93,99,100,1.97,1570418021
Sterling,US,39.0,-77.4,71.01,77,75,7.9,1570418021
Zelenodolsk,UA,47.57,33.65,41.0,93,0,4.25,1570418022
Vila Velha,BR,-3.71,-38.6,79.0,78,75,12.75,1570418022
Nchelenge,ZM,-9.35,28.74,73.45,58,0,5.21,1570418023
San Patricio,PY,-26.98,-56.83,58.95,96,36,4.61,1570418023
Nanakuli,US,21.39,-158.15,82.4,65,90,3.36,1570418024
Estelle,FR,43.97,3.47,60.8,59,0,14.99,1570418024
Saint-Remi,CA,45.27,-73.62,62.01,87,90,12.68,1570418025
Camacha,PT,33.08,-16.33,73.4,78,75,17.22,1570418025
Jizan,SA,16.89,42.56,86.0,66,20,3.36,1570418026
Reconquista,AR,-29.14,-59.64,56.55,79,0,5.64,1570418027
Brandon,US,43.59,-96.57,53.6,76,1,4.7,1570417838
Xining,CN,36.62,101.77,46.6,65,56,6.64,1570418088
Taybad,IR,34.74,60.78,60.8,16,67,5.39,1570418088
Sheboygan,US,43.75,-87.71,55.99,71,1,6.93,1570418089
Grindavik,IS,63.84,-22.43,51.8,81,0,16.11,1570418090
Udachnyy,RU,66.42,112.4,19.4,92,90,6.71,1570418090
Ayr,AU,-19.58,147.4,84.0,51,25,7.85,1570418092
Parvatipuram,IN,18.78,83.43,74.97,80,36,2.21,1570418092
Gimli,CA,50.63,-96.99,45.0,80,35,5.01,1570418093
Ahipara,NZ,-35.17,173.16,60.21,83,71,12.37,1570418093
Rochegda,RU,62.67,43.41,31.59,91,100,7.38,1570418094
Touros,BR,-5.2,-35.46,77.0,78,75,11.41,1570418095
Thompson,CA,55.74,-97.86,37.4,86,75,8.05,1570418095
Kamenka,MD,48.03,28.7,37.99,82,97,4.94,1570418096
Ouargaye,BF,11.5,0.06,74.23,91,17,5.39,1570418097
Sibu,MY,2.29,111.83,82.4,78,75,2.24,1570418097
Katherine,AU,-14.47,132.26,91.4,29,24,8.05,1570418099
Kurmanayevka,RU,52.51,52.07,48.2,38,95,11.45,1570418099
Eureka,US,40.8,-124.16,55.99,87,1,3.36,1570418046
Aljezur,PT,37.31,-8.8,69.01,76,46,13.2,1570418102
Soavinandriana,MG,-19.17,46.74,62.64,66,0,3.91,1570418104
Gondanglegi,ID,-7.75,112.01,89.62,43,79,12.01,1570418105
Bilibino,RU,68.06,166.44,10.49,84,99,4.34,1570418106
Los Llanos de Aridane,ES,28.66,-17.92,73.4,64,90,13.87,1570418106
Terney,RU,45.05,136.61,55.62,43,0,6.51,1570418107
Harper,US,30.3,-99.24,82.4,51,1,8.97,1570418107
Puerto del Rosario,ES,28.5,-13.86,71.6,78,90,14.99,1570418108
Craig,US,40.52,-107.55,39.2,26,1,3.42,1570418070
Fairbanks,US,64.84,-147.72,33.8,86,90,9.17,1570418109
Avera,US,33.19,-82.53,75.2,64,1,5.82,1570418110
Beidao,CN,34.57,105.89,53.83,57,93,7.11,1570418110
Nevelsk,RU,46.67,141.86,59.0,67,75,17.9,1570418112
Ambilobe,MG,-13.19,49.05,74.07,70,0,10.89,1570418112
Meiningen,DE,50.57,10.42,44.01,93,40,4.7,1570418113
Russell,US,38.9,-98.86,53.01,81,1,5.82,1570418113
Mapiripan,CO,2.89,-72.13,75.6,85,100,4.03,1570418114
Shelburne,CA,44.08,-80.2,54.0,81,1,6.93,1570418105
Tazovskiy,RU,67.47,78.7,35.2,85,96,22.55,1570418011
Sharan,AF,33.15,68.78,49.5,67,0,4.9,1570418115
Japura,ID,-0.42,102.29,84.18,69,1,4.7,1570418116
Oshakati,NA,-17.78,15.7,80.6,26,5,8.05,1570418116
Bedford,US,38.86,-86.49,59.0,87,90,0.96,1570418117
Talavera de la Reina,ES,39.96,-4.83,61.0,57,96,1.99,1570418117
Macia,MZ,-25.03,33.09,64.42,98,13,2.64,1570418118
Rawson,AR,-43.3,-65.11,52.34,41,10,35.52,1570418119
Bratslav,UA,48.83,28.94,37.99,82,20,5.95,1570418119
Guane,CU,22.2,-84.09,81.79,81,100,17.09,1570418120
Talnakh,RU,69.49,88.39,32.0,96,90,8.95,1570418121
Chistogorskiy,RU,53.98,87.38,52.18,77,0,2.84,1570418122
Mackay,CA,53.65,-115.58,51.8,40,20,5.82,1570418122
Malartic,CA,48.14,-78.13,53.6,66,75,14.99,1570418123
Nouadhibou,MR,20.93,-17.03,68.0,82,0,10.29,1570418124
Lar,IR,27.66,54.32,69.8,94,0,4.7,1570418125
Cayenne,GF,4.94,-52.33,73.4,100,75,4.5,1570418125
Roebourne,AU,-20.77,117.15,103.86,7,10,12.57,1570418126
Flinders,AU,-34.58,150.85,75.99,68,90,8.05,1570418127
Kondinskoye,RU,59.65,67.41,46.38,96,94,5.35,1570418127
Brae,GB,60.4,-1.35,50.0,81,100,26.4,1570418128
Luganville,VU,-15.51,167.18,80.6,78,75,9.17,1570418130
Zyryanka,RU,65.73,150.89,26.82,62,0,8.39,1570418131
Peniche,PT,39.36,-9.38,62.6,77,0,3.36,1570418132
La Union,GT,14.97,-89.29,75.0,1,100,1.5,1570418132
Belaya Gora,RU,68.54,146.19,23.88,73,100,5.7,1570418133
Moroni,GR,35.09,24.92,68.0,82,20,10.29,1570418134
Iwanai,JP,42.97,140.51,62.37,61,100,5.5,1570418134
Warmbad,DE,50.67,13.08,37.0,80,38,5.64,1570418135
Matagami,NG,9.67,8.4,68.36,96,98,2.24,1570418135
Paamiut,GL,61.99,-49.67,38.73,75,0,24.16,1570418136
Tias,ES,28.96,-13.65,71.6,78,90,10.29,1570418137
Tupik,RU,54.43,119.94,34.12,60,100,9.24,1570418137
Yuzhou,CN,34.16,113.47,59.0,87,100,2.24,1570418138
Hambantota,LK,6.12,81.12,77.0,100,40,4.7,1570418139
Muromtsevo,RU,56.37,75.24,47.57,74,15,3.33,1570418139
Velyka Bilozerka,UA,47.27,34.68,41.0,87,7,4.47,1570418140
Manzanillo,MX,19.05,-104.32,82.4,83,40,5.82,1570418141
Winkler,CA,49.19,-97.94,50.0,61,1,10.29,1570418142
Muros,ES,42.77,-9.06,61.0,100,90,1.12,1570418142
